Art,Name,Type,Archetype,Rarity,Requirements,Ammo,Element,Tier,Excels,Source,Craftable?,Requires,Released,Slot,Ammo?,Element?,Can be Crafted?,Best of?,Rank
,Autumn Wind,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvP,Playlist: Crucible, No, Free-to-Play,Season 20,Kinetic,Primary,Kinetic,No,,B › Average
,Avalanche,Machine Gun,Adaptive,Legendary,Free-to-Play, Heavy, Solar,A > Strong,PvE,Event: Dawning, No, Free-to-Play,Season 12,Heavy,Heavy,Solar,No,Top-tier,A › Strong
,Axial Lacuna,Fusion Rifle,Precision,Legendary,The Final Shape, Special, Solar,A > Strong,PvE + PvP,The Pale Heart, Yes, The Final Shape,The Final Shape,Energy,Special,Solar,Craftable,Top-tier,A › Strong
,Backfang,Glaive,Rapid-Fire,Legendary,Free-to-Play, Special, Arc,B > Average,PvE,Playlist: Gambit, No, Free-to-Play,Episode 3,Energy,Special,Arc,No,,B › Average
,Bad Juju,Pulse Rifle,Exotic,Exotic,Forsaken Pack, Primary, Kinetic,B > Average,PvE,Exotic Kiosk, No, Forsaken Pack,Season 7,Kinetic,Primary,Kinetic,No,,B › Average
,Bad Omens,Rocket Launcher,Aggressive,Legendary,Free-to-Play, Heavy, Void,D > Worst,-,World loot pool, No, Free-to-Play,Season 11,Heavy,Heavy,Void,No,,D › Worst
,Barrow-Dyad,Submachine Gun,Exotic,Exotic,Episode 3: Heretic, Primary, Strand,A > Strong,PvE,Exotic Quest, No, Episode 3: Heretic,Episode 3,Kinetic,Primary,Strand,No,Top-tier,A › Strong
,Basso Ostinato,Shotgun,Rapid-Fire,Legendary,Lightfall, Special, Void,A > Strong,PvE,Terminal Overload, No, Lightfall,Season 20,Energy,Special,Void,No,Top-tier,A › Strong
,Bastion,Fusion Rifle,Exotic,Exotic,Shadowkeep Pack, Special, Kinetic,A > Strong,PvE,Exotic Kiosk, No, Shadowkeep Pack,Season 9,Kinetic,Special,Kinetic,No,Top-tier,A › Strong
,Battle Scar,Pulse Rifle,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvE + PvP,Lost Sector, No, Free-to-Play,Season 20,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Belisarius-D,Pulse Rifle,Aggressive Burst,Legendary,Free-to-Play, Primary, Strand,A > Strong,PvE + PvP,Crucible Competitive, No, Free-to-Play,Season 23,Kinetic,Primary,Strand,No,Top-tier,A › Strong
,Beloved,Sniper Rifle,Adaptive,Legendary,Beyond Light Pack, Special, Solar,S > Best,PvP,Presage, Yes, Beyond Light Pack,Season 17,Energy,Special,Solar,Craftable,Top-tier,S › Best
,Bequest,Sword,Adaptive,Legendary,Beyond Light Pack, Heavy, Arc,S > Best,PvE,Deep Stone Crypt Raid, Yes, Beyond Light Pack,Season 12,Heavy,Heavy,Arc,Craftable,Top-tier,S › Best
,Berenger's Memory,Grenade Launcher,Rapid-Fire,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Heavy,Heavy,Void,No,,C › Weak
,Better Devils,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Strand,B > Average,PvE,Playlist: Crucible, No, Free-to-Play,The Final Shape,Kinetic,Primary,Strand,No,,B › Average
,Bite of the Fox,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Kinetic,C > Weak,-,Iron Banner, No, Free-to-Play,Season 11,Kinetic,Special,Kinetic,No,,C › Weak
,Biting Winds,Combat Bow,Precision,Legendary,Beyond Light Pack, Primary, Kinetic,S > Best,PvE + PvP,Empire Hunts, No, Beyond Light Pack,Season 12,Kinetic,Primary,Kinetic,No,Top-tier,S › Best
,Bitter/Sweet,Grenade Launcher,Adaptive,Legendary,Episode 2: Revenant, Heavy, Arc,S > Best,PvE,Revenant Activities, No, Episode 2: Revenant,Episode 2,Heavy,Heavy,Arc,No,Top-tier,S › Best
,Black Talon,Sword,Exotic,Exotic,Free-to-Play, Heavy, Void,D > Worst,-,Exotic Engram, No, Free-to-Play,Season 4,Heavy,Heavy,Void,No,,D › Worst
,Blasphemer,Shotgun,Pinpoint Slug,Legendary,Free-to-Play, Special, Kinetic,D > Worst,-,Moon, No, Free-to-Play,Season 13,Kinetic,Special,Kinetic,No,,D › Worst
,Blast Battue,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Lost Sector, No, Free-to-Play,Season 12,Heavy,Heavy,Arc,No,,C › Weak
,Blast Furnace,Pulse Rifle,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,S > Best,PvE,Onslaught Activity, No, Free-to-Play,Into the Light,Kinetic,Primary,Kinetic,No,Top-tier,S › Best
,Blood Feud,Submachine Gun,Aggressive,Legendary,Free-to-Play, Primary, Stasis,D > Worst,-,Xûr, Yes, Free-to-Play,Season 18,Kinetic,Primary,Stasis,Craftable,,D › Worst
,Blowout,Rocket Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Arc,B > Average,PvE,Playlist: Crucible, No, Free-to-Play,Season 19,Heavy,Heavy,Arc,No,,B › Average
,Bold Endings,Hand Cannon,Heavy Burst,Legendary,The Final Shape, Primary, Stasis,A > Strong,PvE,The Pale Heart, Yes, The Final Shape,The Final Shape,Kinetic,Primary,Stasis,Craftable,Top-tier,A › Strong
,Bonechiller,Shotgun,Pinpoint Slug,Legendary,Free-to-Play, Special, Void,D > Worst,-,Europa, No, Free-to-Play,Season 12,Energy,Special,Void,No,,D › Worst
,Boondoggle Mk. 55,Submachine Gun,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvP,World loot pool, No, Free-to-Play,Episode 3,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Borealis,Sniper Rifle,Exotic,Exotic,Free-to-Play, Special, Void,D > Worst,-,Exotic Engram, No, Free-to-Play,Season 1,Energy,Special,Void,No,,D › Worst
,Borrowed Time,Submachine Gun,Aggressive,Legendary,Free-to-Play, Primary, Solar,C > Weak,-,Playlist: Gambit, No, Free-to-Play,Season 14,Energy,Primary,Solar,No,,C › Weak
,Bottom Dollar,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Void,C > Weak,-,Playlist: Gambit, No, Free-to-Play,Season 13,Energy,Primary,Void,No,,C › Weak
,Boudica-C,Sidearm,Precision,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvE + PvP,Gunsmith, No, Free-to-Play,Season 18,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Brass Attacks,Sidearm,Aggressive Burst,Legendary,Free-to-Play, Primary, Void,C > Weak,-,World loot pool, No, Free-to-Play,Season 13,Energy,Primary,Void,No,,C › Weak
,BrayTech Osprey,Rocket Launcher,High-Impact,Legendary,Free-to-Play, Heavy, Void,B > Average,PvE + PvP,Nightfall: The Ordeals, No, Free-to-Play,Season 21,Heavy,Heavy,Void,No,,B › Average
,Braytech Werewolf,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvE + PvP,Event: Festival of the Lost, No, Free-to-Play,Episode 2,Kinetic,Primary,Kinetic,No,,B › Average
,Breachlight,Sidearm,Heavy Burst,Legendary,Episode 1: Echoes, Primary, Strand,B > Average,-,Dawn Engrams, No, Episode 1: Echoes,The Final Shape,Kinetic,Primary,Strand,No,,B › Average
,Breakneck,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvE + PvP,Playlist: Gambit, No, Free-to-Play,Season 23,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Briar's Contempt,Linear Fusion Rifle,Aggressive,Legendary,Lightfall, Heavy, Solar,S > Best,PvE,Root of Nightmares Raid, Yes, Lightfall,Season 20,Heavy,Heavy,Solar,Craftable,Top-tier,S › Best
,Briar's Contempt,Linear Fusion Rifle,Aggressive,Legendary,Lightfall, Heavy, Solar,S > Best,PvE,Root of Nightmares Raid, Yes, Lightfall,Season 20,Heavy,Heavy,Solar,Craftable,Top-tier,S › Best
,Brigand's Law,Sidearm,Rapid-Fire,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvE,Xûr, Yes, Free-to-Play,Season 18,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Brya's Love,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE,Xûr, Yes, Free-to-Play,Season 22,Energy,Primary,Void,Craftable,Top-tier,A › Strong
,Bug-Out Bag,Submachine Gun,Adaptive,Legendary,Free-to-Play, Primary, Solar,C > Weak,-,Fishing, No, Free-to-Play,Season 21,Energy,Primary,Solar,No,,C › Weak
,Bump in the Night ,Rocket Launcher,Aggressive,Legendary,Beyond Light Pack, Heavy, Stasis,C > Weak,-,Presage, Yes, Beyond Light Pack,Season 17,Heavy,Heavy,Stasis,Craftable,,C › Weak
,Burden of Guilt,Fusion Rifle,Adaptive,Legendary,The Final Shape, Special, Stasis,S > Best,PvP,Trials of Osiris, No, The Final Shape,Season 17,Kinetic,Special,Stasis,No,Top-tier,S › Best
,Buried Bloodline,Sidearm,Exotic,Exotic,Lightfall Dungeon Key, Special, Void,S > Best,PvE,Warlord's Ruin Dungeon, No, Lightfall Dungeon Key,Season 23,Energy,Special,Void,No,Top-tier,S › Best
,Buzzard,Sidearm,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Nightfall: The Ordeals, No, Free-to-Play,Season 20,Kinetic,Primary,Kinetic,No,,C › Weak
,BxR-55 Battler,Pulse Rifle,Legacy PR-55,Legendary,Free-to-Play, Primary, Solar,S > Best,PvE + PvP,Dares of Eternity, Yes, Free-to-Play,30th Anniversary event,Energy,Primary,Solar,Craftable,Top-tier,S › Best
,Bygones,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvP,Playlist: Gambit, No, Free-to-Play,Episode 2,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,CALUS Mini-Tool,Submachine Gun,MIDA Synergy,Legendary,Beyond Light Pack, Primary, Solar,S > Best,PvE,Presage, Yes, Beyond Light Pack,Season 17,Energy,Primary,Solar,Craftable,Top-tier,S › Best
,Canis Major,Grenade Launcher,Rapid-Fire,Legendary,Free-to-Play, Heavy, Solar,B > Average,PvE,Xûr, No, Free-to-Play,Season 15,Heavy,Heavy,Solar,No,,B › Average
,Cantata-57,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvP,Gunsmith, No, Free-to-Play,Season 16,Energy,Primary,Arc,No,Top-tier,A › Strong
,Caretaker,Sword,Adaptive,Legendary,Lightfall, Heavy, Solar,C > Weak,PvE,Avalon, Yes, Lightfall,Season 20,Heavy,Heavy,Solar,Craftable,,C › Weak
,Cartesian Coordinate,Fusion Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Solar,A > Strong,PvE,World loot pool, No, Free-to-Play,Season 13,Energy,Special,Solar,No,Top-tier,A › Strong
,Cataclysmic,Linear Fusion Rifle,Precision,Legendary,The Witch Queen, Heavy, Solar,S > Best,PvE,Vow of the Disciple Raid, Yes, Witch Queen,Season 16,Heavy,Heavy,Solar,Craftable,Top-tier,S › Best
,Cataclysmic,Linear Fusion Rifle,Precision,Legendary,The Witch Queen, Heavy, Solar,S > Best,PvE,Vow of the Disciple Raid, Yes, Witch Queen,Season 16,Heavy,Heavy,Solar,Craftable,Top-tier,S › Best
,Cataphract GL3,Grenade Launcher,Adaptive,Legendary,The Final Shape, Heavy, Strand,S > Best,PvE,Trials of Osiris, No, The Final Shape,Season 22,Heavy,Heavy,Strand,No,Top-tier,S › Best
,Centrifuse,Auto Rifle,Exotic,Exotic,Free-to-Play, Primary, Arc,B > Average,PvE,Exotic Kiosk, No, Free-to-Play,Season 21,Energy,Primary,Arc,No,,B › Average
,Cerberus+1,Auto Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,D > Worst,-,Exotic Engram, No, Free-to-Play,Season 4,Kinetic,Primary,Kinetic,No,,D › Worst
,Chain of Command,Machine Gun,Adaptive,Legendary,Free-to-Play, Heavy, Stasis,C > Weak,-,Exotic Kiosk, No, Free-to-Play,Season 17,Heavy,Heavy,Stasis,No,,C › Weak
,Chattering Bone,Pulse Rifle,Lightweight,Legendary,Forsaken Pack, Primary, Kinetic,A > Strong,PvE,Last Wish Raid, Yes, Forsaken Pack,Season 4,Kinetic,Primary,Kinetic,Craftable,Top-tier,A › Strong
,Chivalric Fire,Sword,Caster,Legendary,Free-to-Play, Heavy, Void,D > Worst,-,Playlist: Pursuit, No, Free-to-Play,Season 23,Heavy,Heavy,Void,No,,D › Worst
,Choir of One,Auto Rifle,Exotic,Exotic,Episode 1: Echoes, Special, Void,S+ > Meta,PvE,Exotic Quest, Yes, Episode 1: Echoes,The Final Shape,Energy,Special,Void,Craftable,Top-tier,S+ > Meta
,Chroma Rush,Auto Rifle,Rapid-Fire,Legendary,Episode 2: Revenant, Primary, Kinetic,B > Average,PvE + PvP,Splicer Engrams, No, Episode 2: Revenant,Episode 2,Kinetic,Primary,Kinetic,No,,B › Average
,Chronophage,Trace Rifle,Adaptive,Legendary,Episode 1: Echoes, Special, Void,S > Best,PvE,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Energy,Special,Void,Craftable,Top-tier,S › Best
,Chrysura Melo,Auto Rifle,High-Impact,Legendary,Free-to-Play, Primary, Solar,D > Worst,-,Xûr, No, Free-to-Play,Season 15,Energy,Primary,Solar,No,,D › Worst
,Circular Logic,Machine Gun,Adaptive,Legendary,Lightfall, Heavy, Strand,C > Weak,-,Terminal Overload, No, Lightfall,Season 20,Heavy,Heavy,Strand,No,,C › Weak
,Claws of the Wolf,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Void,S > Best,PvE,Iron Banner, No, Free-to-Play,The Final Shape,Energy,Primary,Void,No,Top-tier,S › Best
,Cloudstrike,Sniper Rifle,Exotic,Exotic,Beyond Light Pack, Special, Arc,A > Strong,PvE + PvP,Exotic Quest, No, Beyond Light Pack,Season 12,Energy,Special,Arc,No,Top-tier,A › Strong
,Code Duello,Rocket Launcher,High-Impact,Legendary,Free-to-Play, Heavy, Solar,D > Worst,-,World loot pool, No, Free-to-Play,Season 13,Heavy,Heavy,Solar,No,,D › Worst
,Cold Comfort,Rocket Launcher,Aggressive,Legendary,Free-to-Play, Heavy, Stasis,S > Best,PvE,Ghost of the Deep Dungeon, No, Free-to-Play,Season 21,Heavy,Heavy,Stasis,No,Top-tier,S › Best
,Cold Denial,Pulse Rifle,High-Impact,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvP,Arrivals Engrams, No, Free-to-Play,Episode 3,Kinetic,Primary,Kinetic,No,,B › Average
,Cold Front,Submachine Gun,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Event: Dawning, No, Free-to-Play,Season 12,Kinetic,Primary,Kinetic,No,,C › Weak
,Coldheart,Trace Rifle,Exotic,Exotic,Free-to-Play, Special, Arc,A > Strong,PvE,Exotic Engram, No, Free-to-Play,Season 1,Energy,Special,Arc,No,Top-tier,A › Strong
,Collective Obligation,Pulse Rifle,Exotic,Exotic,The Witch Queen, Primary, Void,B > Average,PvE,Vow of the Disciple Raid, No, Witch Queen,Season 16,Energy,Primary,Void,No,,B › Average
,Combined Action,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,Lost Sector, No, Free-to-Play,Season 21,Energy,Primary,Arc,No,,C › Weak
,Come to Pass,Auto Rifle,High-Impact,Legendary,The Witch Queen, Primary, Arc,C > Weak,-,Wellspring, Yes, Witch Queen,Season 16,Energy,Primary,Arc,Craftable,,C › Weak
,Commemoration,Machine Gun,Adaptive,Legendary,Beyond Light Pack, Heavy, Void,S > Best,PvE + PvP,Deep Stone Crypt Raid, Yes, Beyond Light Pack,Season 12,Heavy,Heavy,Void,Craftable,Top-tier,S › Best
,Compass Rose,Shotgun,Precision,Legendary,Free-to-Play, Special, Solar,S > Best,PvP,Event: Solstice, No, Free-to-Play,Season 14,Energy,Special,Solar,No,Top-tier,S › Best
,Conditional Finality,Shotgun,Exotic,Exotic,Lightfall, Special, Stasis,S > Best,PvE + PvP,Root of Nightmares Raid, No, Lightfall,Season 20,Kinetic,Special,Stasis,No,Top-tier,S › Best
,Contingency Plan,Scout Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvP,Xûr, No, Free-to-Play,Season 15,Energy,Primary,Arc,No,Top-tier,A › Strong
,Controlling Vision,Sidearm,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,The Final Shape,Kinetic,Primary,Kinetic,No,,C › Weak
,Coriolis Force,Fusion Rifle,Aggressive,Legendary,Beyond Light Pack, Special, Void,B > Average,PvE,Empire Hunts, No, Beyond Light Pack,Season 12,Energy,Special,Void,No,,B › Average
,Coronach-22,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Solar,B > Average,-,Lost Sector, No, Free-to-Play,Season 20,Energy,Primary,Solar,No,,B › Average
,Corrasion,Pulse Rifle,Heavy Burst,Legendary,Episode 1: Echoes, Primary, Arc,A > Strong,PvE,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Corrective Measure,Machine Gun,Adaptive,Legendary,Free-to-Play, Heavy, Void,S > Best,PvE + PvP,Vault of Glass Raid, Yes, Free-to-Play,Episode 3,Heavy,Heavy,Void,Craftable,Top-tier,S › Best
,Corsair's Wrath,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Solar,D > Worst,-,World loot pool, No, Free-to-Play,Season 12,Heavy,Heavy,Solar,No,,D › Worst
,Corsair's Wrath,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Solar,D > Worst,-,World loot pool, No, Free-to-Play,Season 12,Heavy,Heavy,Solar,No,,D › Worst
